epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1896.52,1.39227,1.07019,0.00503,0.7128,0.63836,0.71818,0.48996,1.18555,0.9213,0.00623,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,1947.66,1.36554,1.06345,0.00497,0.73761,0.62017,0.72075,0.49415,1.16661,0.9174,0.00614,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,1998.81,1.3723,1.04215,0.00487,0.74166,0.62903,0.71934,0.48709,1.18835,0.91219,0.00623,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,2046.77,1.35077,1.02094,0.00485,0.73275,0.64291,0.72958,0.49474,1.17782,0.90049,0.00619,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,2100,1.36254,1.04351,0.00491,0.72417,0.63002,0.72612,0.4946,1.17716,0.90059,0.00614,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,2148.9,1.35268,1.02913,0.00489,0.74676,0.63457,0.72239,0.49618,1.16514,0.91712,0.00609,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,2199.7,1.32504,1.00668,0.00475,0.74069,0.62396,0.72531,0.4981,1.16525,0.91425,0.00618,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,2249.44,1.38432,1.03842,0.00488,0.73407,0.62851,0.72777,0.49992,1.15759,0.90001,0.006,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,2301.18,1.29887,0.96615,0.00462,0.78833,0.61562,0.73292,0.50278,1.16492,0.90067,0.00609,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,2349.42,1.3838,1.03029,0.00488,0.72536,0.63154,0.72691,0.50029,1.16814,0.89317,0.00613,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,2401.61,1.32304,0.97536,0.00476,0.74058,0.65049,0.73778,0.50384,1.1634,0.88072,0.00606,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,2451.32,1.31474,0.98649,0.00471,0.75149,0.6323,0.73411,0.50586,1.15608,0.89015,0.00604,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,2503.01,1.35507,1.00298,0.00474,0.81327,0.5997,0.734,0.50674,1.16379,0.87994,0.00615,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,2552.5,1.32191,0.97345,0.00471,0.77317,0.63002,0.73865,0.50928,1.15061,0.88956,0.00599,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,2603.21,1.32814,0.97818,0.0047,0.7735,0.62926,0.7408,0.51214,1.14583,0.87883,0.00603,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,2652.36,1.32771,0.98132,0.00485,0.79137,0.62699,0.74538,0.51247,1.15733,0.8596,0.00614,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,2703.82,1.33184,0.96637,0.00481,0.76003,0.63306,0.73796,0.50601,1.16374,0.88801,0.00605,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,2753.35,1.34968,0.98304,0.00467,0.73529,0.65496,0.73627,0.50528,1.15933,0.87747,0.0061,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,2802.4,1.31168,0.9566,0.00476,0.75698,0.63525,0.73949,0.50904,1.16537,0.88203,0.00612,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,2852.93,1.30425,0.96885,0.00465,0.74916,0.6376,0.73782,0.51149,1.15165,0.88072,0.00602,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,2902.94,1.31282,0.96745,0.00473,0.77698,0.6141,0.73851,0.50729,1.15309,0.88057,0.00606,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,2951.76,1.30273,0.95445,0.00471,0.75733,0.63381,0.74361,0.51658,1.15277,0.8574,0.00608,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,3003.46,1.32862,0.96735,0.00464,0.75547,0.63007,0.73848,0.50846,1.15556,0.88115,0.00605,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
